#x	Curve1
0	0
0.10475	-25.6482
0.139721	-33.4213
0.19251	-40.4225
0.227482	-48.1955
0.262453	-55.9685
0.315187	-63.7462
0.350214	-70.7428
0.385185	-78.5158
0.420157	-86.2889
0.472946	-93.2901
0.525679	-101.068
0.578412	-108.845
0.613439	-115.842
0.666173	-123.62
0.718906	-131.397
0.771695	-138.398
0.824428	-146.176
0.859455	-153.173
0.912188	-160.95
0.964977	-167.952
1.01771	-175.729
1.07044	-183.507
1.10547	-190.503
1.1582	-198.281
1.19318	-206.054
1.24596	-213.055
1.28094	-220.828
1.33367	-228.606
1.43886	-248.043
1.49159	-255.821
1.52662	-262.817
1.57935	-270.595
1.63209	-278.373
1.68488	-285.374
1.73761	-293.152
1.80799	-302.487
1.86073	-310.264
1.91352	-317.265
1.96625	-325.043
2.0368	-332.049
2.14232	-346.828
2.19511	-353.829
2.24784	-361.607
2.33616	-368.617
2.38894	-375.618
2.47726	-382.629
2.56562	-388.863
2.67175	-395.101
2.7957	-400.568
2.9908	-404.501
3.16836	-405.323
3.32811	-406.917
3.52354	-406.191
3.68361	-403.127
3.84375	-399.287
3.98617	-394.665
4.11089	-389.263
4.21784	-383.856
4.34256	-378.453
4.46733	-372.274
4.5386	-369.187
4.64561	-363.004
4.73492	-356.039
4.82422	-349.075
4.82422	-349.075
4.96714	-337.466
5.05645	-330.501
5.14575	-323.537
5.21724	-317.344
5.30654	-310.38
5.39585	-303.415
5.50292	-296.455
5.59217	-290.267
5.59217	-290.267
5.68147	-283.303
5.77078	-276.338
5.77078	-276.338
5.87779	-270.155
5.96704	-263.967
5.96704	-263.967
6.25249	-246.183
6.3595	-240
6.43083	-236.136
6.53778	-230.729
6.66255	-224.55
6.76957	-218.367
6.87652	-212.96
7.00124	-207.557
7.12601	-201.378
7.23297	-195.971
7.37539	-191.35
7.7491	-181.353
7.89153	-176.732
8.17627	-169.041
8.31864	-165.196
8.42543	-162.118
8.60315	-160.612
8.76312	-159.1
8.92308	-157.589
9.10081	-156.082
9.26078	-154.571
9.4385	-153.064
9.59847	-151.552
9.7762	-150.046
9.93622	-147.758
10.1138	-147.804
10.2915	-147.073
10.4691	-147.119
10.629	-146.384
10.8066	-146.43
10.9843	-145.7
11.233	-145.764
11.3929	-145.029
11.5705	-145.075
11.7482	-144.345
11.9258	-144.391
12.0857	-144.432
12.2633	-144.478
12.4409	-144.524
12.6186	-143.794
12.7784	-144.611
12.956	-144.657
13.1336	-144.703
13.3112	-144.749
13.4888	-144.795
13.6664	-144.841
13.8441	-144.887
14.0217	-144.157
14.1994	-143.426
14.377	-143.472
14.5546	-143.518
14.7145	-142.783
14.8922	-142.829
15.0698	-142.099
15.2297	-141.364
15.4074	-141.41
15.585	-140.679
15.7449	-139.944
15.9226	-139.214
16.1002	-139.26
16.2779	-138.529
16.4555	-138.575
16.6332	-137.845
16.7931	-137.11
16.9709	-134.827
17.1486	-134.096
17.3085	-132.585
17.4862	-131.078
17.6462	-129.567
17.8239	-128.836
17.9839	-126.549
18.1616	-125.042
18.3393	-124.311
18.4993	-122.8
18.677	-121.293
18.837	-119.782
19.0146	-119.051
19.1924	-117.545
19.3523	-116.81
19.53	-115.303
19.7077	-113.796
19.8676	-113.061
20.0453	-112.331
20.223	-110.824
20.3829	-110.089
20.5607	-108.582
20.7383	-107.852
20.8983	-106.34
21.076	-105.61
21.2359	-104.098
21.4137	-102.592
21.5737	-100.304
21.7514	-98.797
21.9114	-97.2856
22.0891	-95.7788
22.2491	-93.491
22.4269	-91.9842
22.6046	-90.4774
22.7645	-88.966
22.9423	-87.4592
23.1023	-85.1714
23.28	-83.6646
23.44	-82.1532
23.6177	-80.6464
23.7777	-78.3586
23.9555	-76.8518
24.1332	-75.345
24.2932	-73.0572
24.4532	-70.7695
24.631	-68.4863
24.791	-66.1985
24.9511	-63.9107
25.1288	-62.4039
25.2888	-60.1161
25.68	-54.0062
25.84	-51.7184
25.84	-51.7184
26.0711	-48.6727
26.2489	-47.1659
26.4088	-45.6545
26.5866	-43.3713
26.7466	-41.0835
26.9244	-38.8003
27.0844	-37.2889
27.2622	-35.0057
27.4221	-33.4943
27.5999	-31.9875
27.7599	-29.6998
27.9376	-28.193
28.0975	-27.4579
28.2752	-25.9511
28.4352	-24.4398
28.6129	-22.933
28.8439	-21.4399
29.0039	-20.7049
29.1816	-19.1981
29.3415	-17.6867
29.5192	-16.9563
29.6792	-15.4449
29.8569	-13.9381
30.0346	-13.2077
30.2123	-12.4773
30.3722	-11.7423
30.5498	-11.0119
30.7275	-10.2814
30.9052	-9.55103
31.0651	-8.81602
31.2428	-7.30922
31.4204	-7.35519
31.5981	-6.62477
31.7581	-5.11337
31.9357	-4.38296
32.1134	-3.65254
32.291	-3.69851
32.4687	-2.96809
32.6286	-2.23308
32.8062	-2.27905
32.9838	-2.32501
33.1615	-2.37098
33.3391	-2.41695
33.5168	-1.68653
33.6944	-1.7325
33.872	-1.77846
34.0496	-1.82443
34.2095	-1.8658
34.3871	-1.91177
34.5646	-2.73412
34.7423	-2.78009
